Xaxis,HL10_AM,HL15_AM,HL16_AM,HL18_AM,HL19_AM,HL20_AM,HL21_AM,HL23_AM,HL24_AM,HL26_AM,HL27_AM,HL28_AM,HL29_AM,HL30_AM,HL31_AM,HL32_AM,HL33_AM,HL34_AM,HL35A_AM,HL35B_AM,HL36_AM,HL37_AM,HL38_AM,HL39_AM,HL40_AM,HL41_AM,HL42_AM,HL43_AM,HL44_AM,HL45_AM,HL46_AM,HL47_AM,HL48_AM,HL49_AM,HL51_AM,HL53_AM,HL54_AM
50,0.839711045,0.847475728,0.925275196,0.936896305,0.893342674,0.90965567,0.859981659,0.838140649,0.882105974,0.933703028,0.849673632,0.92430445,0.85317128,0.85317128,0.920855125,0.818065376,0.931244831,0.885211996,0.935580353,0.916078884,0.86979865,0.894207429,0.865407713,0.89399584,0.904679628,0.869882178,0.916200608,0.395904437,0.897380592,0.915971085,0.890098657,0.87590045,0.847678904,0.88729379,0.914520481,0.884609503,0.875100448
51,0.851012692,0.857587752,0.929179576,0.945035907,0.91048083,0.928031699,0.865225044,0.854090749,0.891729588,0.94071747,0.862328253,0.947147877,0.865744051,0.865744051,0.928221083,0.832636541,0.946094725,0.900061583,0.948668626,0.930294435,0.88689257,0.900074598,0.870419506,0.895608446,0.907901111,0.882449471,0.929323615,0.450796359,0.909263535,0.920541124,0.896940647,0.884417273,0.856688846,0.893435716,0.913465329,0.88577339,0.887673057
52,0.826492033,0.841262136,0.90508577,0.91124833,0.892283757,0.906883524,0.841071455,0.839374927,0.874369996,0.919464282,0.847454004,0.932140986,0.849606782,0.849606782,0.897706627,0.811476586,0.937576712,0.882121237,0.92967265,0.901854966,0.869753005,0.876540798,0.851911906,0.86814807,0.879868557,0.866730025,0.918154299,0.469179853,0.897301196,0.907104038,0.880731187,0.873299504,0.840837303,0.870357122,0.886892453,0.871866212,0.866449317
53,0.839859573,0.863816281,0.918448827,0.910977333,0.906220727,0.918164086,0.845523525,0.84690549,0.86934898,0.925493014,0.870192861,0.942586311,0.868700848,0.868700848,0.901566645,0.819745876,0.953780428,0.894705042,0.925363167,0.908715915,0.876257367,0.878476786,0.861667977,0.862191301,0.891204302,0.87597398,0.922491063,0.494492709,0.905419443,0.911940609,0.89735297,0.886603853,0.858805406,0.879260001,0.881325612,0.893321666,0.886387326
54,0.810086416,0.848349515,0.88150835,0.860542769,0.876098626,0.884030593,0.807754885,0.814285294,0.839232393,0.883978709,0.842696876,0.890369858,0.857159636,0.857159636,0.863163821,0.791115893,0.914877814,0.848140316,0.874488427,0.856664742,0.842035295,0.847062863,0.83809399,0.824206203,0.856107092,0.832682046,0.881082474,0.462224635,0.872337751,0.860044985,0.883711941,0.849693369,0.834688277,0.861486039,0.849222279,0.854412152,0.860851797
55,0.832730219,0.888961912,0.905828862,0.893188285,0.910945124,0.918816808,0.857400642,0.850938933,0.890859469,0.921899941,0.880331903,0.941482789,0.899627209,0.899627209,0.898826903,0.807285583,0.953838374,0.888883725,0.915414253,0.888091234,0.870660193,0.884580773,0.88333115,0.863244432,0.888200814,0.872656545,0.917327737,0.487253077,0.911532939,0.892347297,0.924102445,0.882995678,0.864993268,0.902211412,0.887165338,0.89821509,0.903877856
56,0.848919795,0.910784167,0.918234716,0.902189272,0.918992889,0.936778167,0.877198302,0.858315211,0.912969056,0.931731607,0.889802316,0.941187838,0.901154121,0.901154121,0.90904289,0.817768214,0.957689127,0.888314374,0.926516168,0.903101651,0.884667393,0.907741584,0.905376485,0.883517192,0.894837553,0.880513317,0.921594727,0.476160927,0.923144613,0.902351978,0.931124827,0.892124488,0.877129505,0.912253647,0.900330493,0.909684051,0.919067845
57,0.828449905,0.889768484,0.889770523,0.87448946,0.89296798,0.917073658,0.859353045,0.849704655,0.905000095,0.914707435,0.878424667,0.928255773,0.882769891,0.882769891,0.892679897,0.822727738,0.95010878,0.873784321,0.907406033,0.88379059,0.865405353,0.895723065,0.89587155,0.869852825,0.879263015,0.870330799,0.913597475,0.50173234,0.913081163,0.88712068,0.916938328,0.881395586,0.860682477,0.894702257,0.887401837,0.894353873,0.903620709
58,0.84120983,0.902815534,0.904569385,0.892607576,0.914960861,0.932370377,0.876052005,0.868571471,0.927642215,0.938211858,0.900160581,0.950504213,0.915355939,0.915355939,0.927228507,0.840957065,0.968145686,0.908044107,0.933257228,0.912246793,0.890732425,0.926355488,0.909913304,0.894213048,0.903557357,0.889922554,0.943718668,0.525855828,0.928894211,0.913975349,0.953171239,0.902929889,0.880204018,0.912036375,0.903962888,0.932205694,0.938689014
59,0.818120443,0.905556385,0.891395249,0.886616597,0.903980711,0.928845681,0.865957195,0.86767515,0.917338671,0.925938174,0.904523109,0.958447542,0.919609846,0.919609846,0.924407502,0.853673532,0.958105282,0.89819667,0.93338851,0.921149293,0.899210918,0.913401537,0.900937937,0.892633353,0.893691061,0.881440074,0.939752246,0.503568104,0.923931958,0.906837507,0.95333445,0.894304693,0.880398198,0.902004738,0.893938935,0.930026591,0.937926759
60,0.819362679,0.911769978,0.897793395,0.904599214,0.896755643,0.942714093,0.884024316,0.872355119,0.941102912,0.928825351,0.910206453,0.983452246,0.92524257,0.92524257,0.939261314,0.846234245,0.965000817,0.902466798,0.947184566,0.930779722,0.907107442,0.924455022,0.90686692,0.905494708,0.902967963,0.892814979,0.956009747,0.513134761,0.94342369,0.927678966,0.969208898,0.917343465,0.889006835,0.909540389,0.909335678,0.955823259,0.956340259
61,0.900810154,0.947064974,0.95171163,0.955711272,0.953472839,0.991599091,0.939645609,0.903292876,0.945776831,0.954046818,0.94677277,0.989071566,0.966050454,0.966050454,0.975609331,0.878225228,0.989838437,0.955741724,0.975575787,0.979366952,0.951091763,0.966117249,0.941960386,0.937299247,0.960373337,0.922878495,0.984311431,0.535267349,0.969756717,0.962581585,0.984336009,0.954324073,0.928140534,0.94090184,0.946745096,0.954842026,0.993640225
62,0.930583311,0.939223301,0.960502783,0.985627456,0.96838727,1,0.957690544,0.917163806,0.968499781,0.971878637,0.964244806,0.99423829,1,1,1,0.847381904,1,0.975268118,1,0.990620581,0.969669133,0.997241069,0.950231481,0.946231109,0.981664191,0.934312429,1,0.565079119,0.983975228,0.979002522,1,0.962254408,0.948853045,0.966487019,0.968066463,0.957874929,0.998057628
63,0.928017823,0.919805825,0.952731807,0.951143029,0.94958743,0.970888623,0.922332826,0.906988363,0.927028852,0.939928902,0.930890098,0.975686905,0.948958227,0.948958227,0.963025093,0.881463265,0.967582033,0.946916794,0.965135991,0.966138708,0.935698106,0.952429162,0.914308176,0.90712706,0.954398657,0.908499008,0.973770087,0.571181094,0.953864272,0.946147645,0.966507321,0.937073681,0.927991663,0.924707079,0.932282223,0.919844702,0.974345081
64,0.958236565,0.932374907,0.983198569,0.980962428,0.972891738,0.988043679,0.939194486,0.920690314,0.935230796,0.95633621,0.94501899,1,0.965498928,0.965498928,0.985912386,0.984742289,0.993136072,0.963654532,0.980650133,0.985985257,0.951120291,0.960700034,0.921509216,0.920751935,0.978822181,0.919431196,0.987043378,0.612317716,0.966527944,0.950457654,0.964991174,0.954744814,0.938652133,0.938861597,0.946951275,0.948640291,0.991780507
65,0.890696732,0.908730396,0.954066853,0.947649097,0.952837489,0.958003133,0.916068867,0.901794111,0.92572605,0.950867107,0.944755923,0.996277518,0.960530079,0.960530079,0.969247558,0.954728968,0.980540791,0.967639985,0.970261708,0.958173314,0.952210057,0.945490391,0.915525638,0.89581249,0.965637515,0.900943285,0.981128632,0.597373048,0.961261339,0.946225655,0.966056342,0.926714521,0.924768279,0.925724551,0.931881993,0.940527063,0.973040983
66,0.869065622,0.882778193,0.927164412,0.914839047,0.928490555,0.92702574,0.881731722,0.876968967,0.893160768,0.912589747,0.924888882,0.969869255,0.931784292,0.931784292,0.929631586,0.933405062,0.949650482,0.940967663,0.923707868,0.919325284,0.915614463,0.914295525,0.892082678,0.867871623,0.949400917,0.871558604,0.948254023,0.580308201,0.931123917,0.91034142,0.938254584,0.888707559,0.899401926,0.893038266,0.890712835,0.913439074,0.937417059
67,0.84168242,0.83849888,0.873775158,0.865749792,0.892503686,0.877480342,0.851972371,0.838471259,0.85071036,0.868410844,0.883433902,0.920882004,0.901991625,0.901991625,0.893974309,0.919182293,0.900122739,0.91048999,0.877034162,0.869390965,0.888045097,0.873189822,0.851819095,0.831110789,0.907408604,0.831619522,0.907806177,0.555615886,0.893774687,0.86321736,0.88425741,0.84795303,0.865640534,0.856642449,0.8651466,0.863871921,0.894244059
68,0.815987038,0.831665422,0.849555404,0.85282902,0.872139907,0.874017078,0.855832803,0.831976607,0.855683828,0.848906497,0.882414517,0.900469379,0.902747421,0.902747421,0.877315285,0.978850292,0.886157833,0.903163961,0.869545364,0.856681476,0.890110517,0.868110073,0.846911032,0.835593176,0.903977199,0.832900453,0.899556662,0.521589616,0.891432503,0.8516915,0.881409802,0.846384813,0.881272007,0.856451673,0.869967557,0.872511872,0.90165997
69,0.807520929,0.841433906,0.869140281,0.906931728,0.906041526,0.885865893,0.86707391,0.823329317,0.883480097,0.86482413,0.902160986,0.898872576,0.935777755,0.935777755,0.908503068,0.920227482,0.868436995,0.918309843,0.876577528,0.854363814,0.891645318,0.897901792,0.860625218,0.845446527,0.932849438,0.852993955,0.915057376,0.518435205,0.906034762,0.885196453,0.89113376,0.862742723,0.884948478,0.878624081,0.908056154,0.893083791,0.915793824
70,0.762233324,0.836549664,0.859580846,0.90239252,0.893896568,0.879284924,0.857038264,0.808936758,0.889395006,0.865568183,0.883784658,0.878922718,0.924047595,0.924047595,0.902768184,0.856573419,0.827827617,0.892805271,0.858745969,0.821548399,0.878551011,0.89435544,0.849597091,0.820013427,0.908425914,0.844546893,0.89584787,0.512591788,0.89425768,0.867312843,0.865496699,0.850413729,0.872158502,0.880765012,0.909651011,0.869874011,0.871670302
71,0.774480151,0.859096341,0.88011033,0.943574457,0.925110168,0.897131097,0.873774202,0.834290878,0.916330664,0.897994874,0.912870007,0.902422156,0.936748034,0.936748034,0.926967303,0.846726099,0.837773201,0.925885688,0.879825337,0.841202507,0.901013882,0.923442625,0.873602376,0.830439419,0.927819403,0.874445127,0.91668903,0.533354018,0.9167003,0.901168838,0.892637022,0.87494422,0.891634735,0.914150808,0.942809496,0.885327375,0.888669498
72,0.862773427,0.942793129,0.958260913,1,0.968509453,0.948565549,0.929913177,0.908090396,0.952034082,0.923992191,0.95163403,0.926994604,0.932877132,0.932877132,0.917407229,0.876196332,0.84110771,0.926943053,0.879848169,0.877532067,0.930608728,0.941044131,0.930244366,0.8626323,0.970142746,0.904201691,0.944518394,0.572163616,0.952726262,0.922738383,0.929900742,0.903108386,0.937726543,0.9356608,0.961207968,0.880782268,0.907193204
73,0.746246287,0.903711725,0.878233709,0.911325758,0.934819618,0.907359626,0.883994734,0.876506113,0.909455296,0.901047397,0.936661131,0.910253607,0.902083546,0.902083546,0.886666396,0.83922533,0.829386882,0.907161033,0.849265105,0.81281324,0.909577958,0.885089932,0.913565688,0.808764678,0.925381088,0.889550671,0.922646715,0.568130107,0.918989553,0.870465715,0.927847715,0.870711308,0.920651667,0.903377265,0.889912374,0.875345131,0.883691884
74,0.859451796,0.965563854,0.954734376,0.967286735,1,0.97389882,0.96081143,0.93192371,0.977652675,0.947903617,0.993763119,0.955228511,0.952563579,0.952563579,0.930740253,0.887508966,0.891594191,0.955979922,0.9114872,0.908456538,0.959450438,0.951949605,0.97821126,0.909746722,1,0.955173309,0.967200532,0.688850967,0.966402234,0.943059781,0.976252754,0.938418778,0.987792564,0.957668929,0.958642855,0.935446737,0.928683274
75,0.889481501,0.966295743,0.948021361,0.971071021,0.972484462,0.960329893,0.976926149,0.933966146,0.989734495,0.949264533,0.990770732,0.95493356,0.961816975,0.961816975,0.954567881,0.888554155,0.905559097,0.972851283,0.940489169,0.955579541,0.965703755,0.960404012,0.974487902,0.939333105,0.982059811,0.961743247,0.964694011,0.732004344,0.951661032,0.963998752,0.965085664,0.953240345,0.987870236,0.974070365,0.969922076,0.975673058,0.955747905
76,0.915973535,0.991687827,0.946749288,0.965080041,0.989435272,0.963278658,0.982213906,0.949908899,0.995116872,0.955439531,0.996311581,0.961992036,0.974670616,0.974670616,0.959577197,1,0.92272155,0.986068345,0.946476783,0.960808923,0.971860076,0.967484873,0.982862727,0.960935443,0.983900659,0.97124693,0.964463218,0.780975282,0.938322494,0.974055439,0.962783526,0.964868104,0.983902496,0.981139675,0.978144993,0.977983842,0.968889909
77,0.865960032,0.957669903,0.894669891,0.920607421,0.957781814,0.939773007,0.960338121,0.932930234,0.98677704,0.946364637,0.977946214,0.958071226,0.938167705,0.938167705,0.934246194,0.915718824,0.909436189,0.967163589,0.934119124,0.931047466,0.955639111,0.951168105,0.962144043,0.954471855,0.928465315,0.951141623,0.952762541,0.718352467,0.918447013,0.95923369,0.956010257,0.947859957,0.969785626,0.968405378,0.958188048,0.966990629,0.954025944
78,0.885903322,0.970941001,0.908385602,0.929250305,0.963165997,0.945609104,0.965174755,0.94973992,0.992116625,0.954377508,0.973643972,0.975061406,0.933893371,0.933893371,0.931663174,0.93512655,0.924528401,0.961435228,0.938674049,0.941539697,0.953933142,0.952233787,0.962204097,0.970558422,0.92117459,0.953561815,0.943927993,0.742062261,0.929066236,0.965539434,0.965424972,0.950027412,0.972905447,0.978055463,0.960753161,0.973103161,0.953626449
79,0.906062652,0.988177745,0.923134084,0.925040166,0.979880587,0.956551788,0.965781183,0.977254026,0.984490006,0.973697431,0.98676444,0.982796235,0.937651925,0.937651925,0.949924251,0.935577416,0.938972676,0.990902014,0.949433488,0.950366893,0.975557293,0.967242135,0.977577961,0.977166816,0.931428433,0.979977333,0.957609197,0.77014169,0.938659927,0.976928778,0.966597517,0.965913582,0.984478563,0.980212291,0.974257906,0.990204657,0.964325565
80,0.928881988,1,0.945477216,0.950059039,0.997075761,0.967625015,0.98982384,1,1,0.996883883,1,0.995306215,0.951389031,0.951389031,0.979068836,0.918465007,0.964542519,1,0.968583578,0.978797995,1,0.998537648,1,1,0.937298153,1,0.981719033,0.78730996,0.967632873,1,0.999712233,1,1,1,0.993923774,1,0.997520377
81,0.912192817,0.952733383,0.922139097,0.918952401,0.955150814,0.91821784,0.949067432,0.964183907,0.942657715,0.959032605,0.948110028,0.935888895,0.913175365,0.913175365,0.945152921,0.930269495,0.942117545,0.957310342,0.928913496,0.944217141,0.968722007,0.955791979,0.955718248,0.946527302,0.891793696,0.949884303,0.939188681,0.768461061,0.942470938,0.950451153,0.95949353,0.952494486,0.949273768,0.958405537,0.95407659,0.923289638,0.957800482
82,1,0.98317401,1,0.977429783,0.989793674,0.953196031,1,0.997178794,0.976820594,1,0.97343023,0.961798793,0.953590032,0.953590032,0.990526994,0.947576596,0.975273003,0.97984035,0.968903222,1,0.999178396,1,0.98262797,0.989692486,0.940600375,0.970662543,0.97283618,0.897481642,1,0.990729906,0.993561743,0.986147412,0.972937811,0.992845901,1,0.938144067,1
83,0.94852822,0.925265123,0.950162473,0.899411548,0.916231561,0.896624278,0.939956219,0.936890208,0.886722836,0.944208793,0.918038178,0.878846437,0.918501685,0.918501685,0.941101353,0.958663798,0.938261525,0.919791316,0.90823939,0.945555862,0.94158056,0.935964383,0.914324555,0.910905166,0.892173169,0.904685729,0.91465483,0.902264971,0.962326569,0.900213225,0.94026466,0.925165428,0.917790752,0.940133437,0.929050059,0.875451325,0.962782689
84,0.930002701,0.906273338,0.919922416,0.861946149,0.882680199,0.87159049,0.907926459,0.91750911,0.841072481,0.917721801,0.901152562,0.850719324,0.901240936,0.901240936,0.903783978,0.976380777,0.935790932,0.880424805,0.873700733,0.9205134,0.897681823,0.890086794,0.877986329,0.878001422,0.864528162,0.8766233,0.879504492,0.931895749,0.95526032,0.867527368,0.920559042,0.896006783,0.894159072,0.912460321,0.88892999,0.840547452,0.950540696
85,0.906818796,0.888730396,0.898889141,0.828129537,0.853649596,0.854942253,0.885799228,0.90047167,0.816504688,0.890096472,0.887133282,0.830606734,0.882928199,0.882928199,0.890961754,0.863028999,0.927336132,0.844486016,0.85500157,0.896600484,0.88669858,0.874859389,0.858310404,0.851330894,0.852788722,0.8551131,0.872639737,0.962638329,0.952554237,0.846880932,0.911208752,0.87927913,0.877233068,0.902651256,0.868251417,0.81513733,0.933536907
86,0.903281123,0.861874533,0.874946472,0.809324248,0.847116896,0.840305934,0.866341759,0.887651346,0.798940642,0.864747817,0.880704581,0.815309978,0.874834031,0.874834031,0.88127398,0.868224203,0.935432722,0.839774351,0.848277633,0.886760879,0.880125751,0.851035487,0.837804638,0.835389132,0.839628278,0.833998394,0.85455736,0.948805461,0.956080746,0.833313831,0.89665288,0.862972218,0.882327051,0.886535985,0.849507292,0.786273777,0.92973941
87,0.863745612,0.834466019,0.841507343,0.784092449,0.80401085,0.805158803,0.83320268,0.849322617,0.767545027,0.823176277,0.855718694,0.782031397,0.861561638,0.861561638,0.85395202,0.86558049,0.927968267,0.813979294,0.819155798,0.850105006,0.843250583,0.818472997,0.806909504,0.797325049,0.80725197,0.805369286,0.82126947,1,0.936734572,0.810574148,0.891331332,0.857993447,0.867174555,0.863664065,0.822619084,0.766912471,0.953842268
88,0.762489873,0.776624347,0.761026726,0.690753179,0.744678945,0.7362007,0.758885651,0.775523099,0.70862892,0.755378481,0.811457665,0.720951165,0.815437647,0.815437647,0.792743167,0.825125525,0.902214051,0.770749335,0.767624647,0.772869132,0.781407795,0.756349686,0.754531359,0.723559844,0.739019507,0.742780742,0.754516569,0.922354949,0.872721498,0.733293029,0.84386261,0.784746217,0.809373705,0.807432844,0.753737,0.710531905,0.908648835
89,0.685849311,0.731657954,0.699274541,0.631811231,0.693582152,0.706044969,0.711310624,0.73296256,0.67839822,0.699091239,0.776420425,0.67041288,0.777223981,0.777223981,0.740891229,0.810298186,0.879009445,0.738110454,0.720614173,0.708987006,0.721824416,0.696085397,0.713017558,0.678755726,0.699360548,0.692635531,0.706726279,0.84227945,0.835828796,0.685362873,0.808686278,0.743768567,0.783275942,0.761673105,0.698856918,0.676558292,0.888977155
90,0.774007561,0.780351008,0.787790624,0.713187898,0.778246597,0.793678585,0.763848008,0.77861614,0.732616634,0.75131481,0.823070979,0.711614449,0.839214585,0.839214585,0.786886388,0.805779281,0.919397576,0.815170282,0.763937327,0.772383845,0.758585472,0.732922454,0.746418588,0.721163972,0.783635835,0.746723886,0.755418272,0.889880029,0.885484415,0.747724732,0.840881856,0.803838945,0.858785988,0.798423978,0.747600133,0.718160888,0.92930318
91,0.650796651,0.725250187,0.690773067,0.649522851,0.726294525,0.737437032,0.705749235,0.726871988,0.694521577,0.707307612,0.786564947,0.67830027,0.789750792,0.789750792,0.737495574,0.790193667,0.888638962,0.783780486,0.710819373,0.702770317,0.711651366,0.688862444,0.716042103,0.675714812,0.722694096,0.705191018,0.716752364,0.893835971,0.84051978,0.709090673,0.81959137,0.756715923,0.812538836,0.764476452,0.70014857,0.694742968,0.911123866
92,0.590318661,0.646788648,0.636930401,0.578869941,0.645784291,0.667818528,0.62863672,0.655768779,0.612136024,0.620049985,0.715081962,0.604562583,0.705443775,0.705443775,0.673692092,0.737626806,0.821021635,0.697541336,0.645223893,0.633416167,0.638009437,0.619877328,0.634990828,0.607748407,0.654316303,0.634291179,0.637155555,0.85554349,0.771670162,0.639766492,0.745158422,0.686050514,0.738614592,0.694064217,0.637470059,0.611193707,0.827055447
93,0.499756954,0.567259149,0.558351596,0.510046263,0.56980296,0.604143629,0.557751187,0.569090161,0.542759467,0.543546141,0.631854129,0.515609506,0.629246247,0.629246247,0.600798704,0.652454145,0.746693146,0.630073318,0.570849625,0.556029686,0.558079958,0.548689804,0.564099624,0.529599547,0.588828963,0.555564082,0.561852571,0.79183473,0.701536975,0.561991315,0.674865888,0.613574643,0.67805639,0.621140098,0.561256481,0.531798758,0.755380553
94,0.465798002,0.531366692,0.536978261,0.494870405,0.527397428,0.58061494,0.55931163,0.526992477,0.54003975,0.520919318,0.599074881,0.494286601,0.588412828,0.588412828,0.592533042,0.587222051,0.725527174,0.590218793,0.565872314,0.537697566,0.524371388,0.540584704,0.557941343,0.534615081,0.568684601,0.540930771,0.55211632,0.764608543,0.693008515,0.553403802,0.657045789,0.603170859,0.643576533,0.608352808,0.558078894,0.537257134,0.737265526
95,0.402173913,0.452120986,0.459331469,0.432415168,0.455611036,0.500813982,0.488677543,0.454302339,0.480919188,0.457223349,0.532453155,0.433460637,0.53084976,0.53084976,0.542950679,0.538641254,0.659716698,0.537199493,0.510785125,0.47454337,0.479913503,0.491930423,0.494573288,0.472434311,0.498700103,0.478430771,0.502125444,0.715327335,0.623656056,0.493999792,0.593032595,0.531153979,0.573891881,0.543065028,0.503089658,0.481479751,0.660149237
96,0.349635431,0.398775205,0.397352578,0.378351174,0.393436347,0.445086927,0.424677188,0.396004761,0.424004831,0.397114094,0.467820873,0.371576919,0.468001226,0.468001226,0.49890004,0.46964853,0.592252137,0.487491721,0.463609121,0.425211476,0.427815847,0.438048382,0.433361723,0.414972882,0.43702364,0.42396463,0.44535569,0.642388044,0.541156933,0.430623814,0.534147672,0.474761899,0.501462821,0.480421615,0.445850641,0.417780289,0.583905407
97,0.305549554,0.358073189,0.384682234,0.354416291,0.357205112,0.429813245,0.395028768,0.360262137,0.416349683,0.386360312,0.425291703,0.343932914,0.434194669,0.434194669,0.479692824,0.399948765,0.544489104,0.446928413,0.434607152,0.407155467,0.389286061,0.415230957,0.402745021,0.405389395,0.413423653,0.393316726,0.419522956,0.566914883,0.496887013,0.403028057,0.497382176,0.451066515,0.461856618,0.441831873,0.427609836,0.408290785,0.545443692
98,0.26400216,0.339813294,0.372754981,0.334614119,0.336727296,0.404556764,0.370120842,0.33806718,0.400939539,0.379485777,0.405660326,0.338049155,0.407797978,0.407797978,0.446096158,0.346500666,0.526952637,0.404953348,0.406016153,0.385468176,0.367878722,0.384497886,0.379973576,0.385794587,0.382145395,0.363577871,0.409287547,0.504240356,0.472320548,0.383967808,0.470276214,0.427243635,0.430768434,0.417937182,0.404723932,0.396707134,0.535217541
99,0.229624629,0.317012696,0.359379329,0.300294226,0.317202506,0.385842855,0.337469863,0.315953039,0.37304342,0.371727283,0.378663071,0.306667413,0.378633439,0.378633439,0.398301592,0.219110565,0.508194044,0.381447312,0.359804789,0.346770752,0.32486435,0.359335962,0.355034722,0.359834922,0.357689575,0.342238855,0.396481209,0.443298169,0.443771048,0.366571755,0.426063128,0.41132559,0.396288577,0.37720121,0.36801795,0.341758064,0.493683848
100,0.132595193,0.225668409,0.281568805,0.188991696,0.212247591,0.279718024,0.231596385,0.231713589,0.23022975,0.234974276,0.270257532,0.190263574,0.2691196,0.2691196,0.29951416,0.136110257,0.416629353,0.271498786,0.254465025,0.244509149,0.235480724,0.254993902,0.253434006,0.247847665,0.261933213,0.22834813,0.284729006,0.298970938,0.348224506,0.253854955,0.300098356,0.30288909,0.292700135,0.263594114,0.264685728,0.196913575,0.355330042